"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C8-6","SMD_0805_CAPC2012X145N","-42.4mm","64.6mm","-42.4mm","64.6mm","-41.5mm","64.6mm","T","180.00","10uF/16V"
"C14-5","SMD_0805_CAPC2012X145N","-37.5mm","47.25mm","-37.5mm","47.25mm","-36.6mm","47.25mm","T","180.00","10uF/16V"
"C1-6","SMD_0805_CAPC2012X145N","-42.4mm","60.5544mm","-42.4mm","60.5544mm","-41.5mm","60.5544mm","T","180.00","10uF/16V"
"C12-5","SMD_0805_CAPC2012X145N","-37.5mm","45.25mm","-37.5mm","45.25mm","-36.6mm","45.25mm","T","180.00","10uF/16V"
"C4-6","SMD_0805_CAPC2012X145N","-37.6mm","67.8mm","-37.6mm","67.8mm","-36.7mm","67.8mm","T","180.00","10uF/16V"
"C3-6","SMD_0805_CAPC2012X145N","-32.75mm","65mm","-32.75mm","65mm","-33.65mm","65mm","T","360.00","10uF/16V"
"C9-6","SMD_0805_CAPC2012X145N","-37.6mm","61.8mm","-37.6mm","61.8mm","-36.7mm","61.8mm","T","180.00","10uF/16V"
"C11-6","SMD_0805_CAPC2012X145N","-37.6mm","63.8mm","-37.6mm","63.8mm","-36.7mm","63.8mm","T","180.00","10uF/16V"
"C2-6","SMD_0805_CAPC2012X145N","-42.4mm","58.5544mm","-42.4mm","58.5544mm","-41.5mm","58.5544mm","T","180.00","10uF/16V"
"C7-6","SMD_0805_CAPC2012X145N","-42.4mm","62.6mm","-42.4mm","62.6mm","-41.5mm","62.6mm","T","180.00","10uF/16V"
"C15-5","SMD_0805_CAPC2012X145N","-37.5mm","51.25mm","-37.5mm","51.25mm","-36.6mm","51.25mm","T","180.00","10uF/16V"
"C5-6","SMD_0805_CAPC2012X145N","-42.4154mm","66.725mm","-42.4154mm","66.725mm","-41.5154mm","66.725mm","T","180.00","10uF/16V"
"C13-5","SMD_0805_CAPC2012X145N","-32.75mm","45mm","-32.75mm","45mm","-33.65mm","45mm","T","360.00","10uF/16V"
"C6-6","SMD_0805_CAPC2012X145N","-32.75mm","67mm","-32.75mm","67mm","-33.65mm","67mm","T","360.00","10uF/16V"
"C1-5","SMD_0805_CAPC2012X145N","-42.3999mm","50.4499mm","-42.3999mm","50.4499mm","-41.4999mm","50.4499mm","T","180.00","10uF/16V"
"C12-6","SMD_0805_CAPC2012X145N","-32.75mm","71.0001mm","-32.75mm","71.0001mm","-33.65mm","71.0001mm","T","360.00","10uF/16V"
"C13-6","SMD_0805_CAPC2012X145N","-32.75mm","73.0001mm","-32.75mm","73.0001mm","-33.65mm","73.0001mm","T","360.00","10uF/16V"
"C14-6","SMD_0805_CAPC2012X145N","-32.75mm","63mm","-32.75mm","63mm","-33.65mm","63mm","T","360.00","10uF/16V"
"C16-6","SMD_0805_CAPC2012X145N","-37.6mm","65.8mm","-37.6mm","65.8mm","-36.7mm","65.8mm","T","180.00","10uF/16V"
"C3-5","SMD_0805_CAPC2012X145N","-42.45mm","56.5mm","-42.45mm","56.5mm","-41.55mm","56.5mm","T","180.00","10uF/16V"
"C15-6","SMD_0805_CAPC2012X145N","-42.4154mm","68.725mm","-42.4154mm","68.725mm","-41.5154mm","68.725mm","T","180.00","10uF/16V"
"C54_5","SMD_0805_CAPC2012X145N","-17.9749mm","45.4999mm","-17.9749mm","45.4999mm","-17.9749mm","46.3999mm","T","270.00","22uF/6.3V"
"C40_5","SMD_0805_CAPC2012X145N","-21.9284mm","46.0999mm","-21.9284mm","46.0999mm","-21.0284mm","46.0999mm","T","180.00","22uF/6.3V"
"C4-5","SMD_0805_CAPC2012X145N","-42.4mm","52.5mm","-42.4mm","52.5mm","-41.5mm","52.5mm","T","180.00","10uF/16V"
"C211","SMD_0805_CAPC2012X145N","17.25mm","57mm","17.25mm","57mm","16.35mm","57mm","T","360.00","22uF/6.3V"
"C5-5","SMD_0805_CAPC2012X145N","-37.5mm","49.25mm","-37.5mm","49.25mm","-36.6mm","49.25mm","T","180.00","10uF/16V"
"C6-5","SMD_0805_CAPC2012X145N","-32.75mm","50.9751mm","-32.75mm","50.9751mm","-33.65mm","50.9751mm","T","360.00","10uF/16V"
"C7-5","SMD_0805_CAPC2012X145N","-32.75mm","47mm","-32.75mm","47mm","-33.65mm","47mm","T","360.00","10uF/16V"
"C8-5","SMD_0805_CAPC2012X145N","-43.7333mm","47.2mm","-43.7333mm","47.2mm","-43.7333mm","48.1mm","T","270.00","10uF/16V"
"C9-5","SMD_0805_CAPC2012X145N","-42.45mm","54.5mm","-42.45mm","54.5mm","-41.55mm","54.5mm","T","180.00","10uF/16V"
"C10-5","SMD_0805_CAPC2012X145N","-41.7333mm","47.2mm","-41.7333mm","47.2mm","-41.7333mm","48.1mm","T","270.00","10uF/16V"
"C229","SMD_0805_CAPC2012X145N","17.25mm","60mm","17.25mm","60mm","16.35mm","60mm","T","360.00","22uF/6.3V"
"C233","SMD_0805_CAPC2012X145N","14.25mm","65.225mm","14.25mm","65.225mm","14.25mm","64.325mm","T","90.00","22uF/6.3V"
"C234","SMD_0805_CAPC2012X145N","43mm","64mm","43mm","64mm","42.1mm","64mm","T","360.00","22uF/6.3V"
"D1_5","SMD_SOT23_SOT95P240X120-3N","-28.3498mm","51.25mm","-28.3498mm","51.25mm","-27.1998mm","50.3mm","T","180.00","BAT54C"
"R9","SMD_0603_RESC1608X55N","31.05mm","53mm","31.05mm","53mm","30.25mm","53mm","T","360.00","10k"
"Q3_5","SMD_SON127P615X520X100-8N","-17.75mm","39.25mm","-17.75mm","39.25mm","-15.845mm","42mm","T","270.00","AP1RA03GMT-3"
"C2_5","SMD_0805_CAPC2012X145N","-25.3622mm","53mm","-25.3622mm","53mm","-25.3622mm","52.1mm","T","90.00","1uF/16V"
"C53_6","SMD_0805_CAPC2012X145N","-6.25mm","73mm","-6.25mm","73mm","-6.25mm","72.1mm","T","90.00","22uF/6.3V"
"C43_6","SMD_0805_CAPC2012X145N","-16mm","65.5mm","-16mm","65.5mm","-16mm","66.4mm","T","270.00","22uF/6.3V"
